address,holding_balance,rk
0xaec348bad0e323ae6f196ecdac28fc5de227d78e,35209912618367226078335716,2
0x7798ba9512b5a684c12e31518923ea4221a41fb9,32544744561603003433159344,3
0x60c584e37131012912933aaad0427c3450136570,17823333245232650454804006,4
0xbe581d7567f3956ddcf1740067b080d62237302f,17742034270142512100075471,5
0x8d73a36d78e2ae4a437053c9ce3be70d483ab74d,17690838321317159011555148,6
0xfbc3f33af3dd99d709631791741eea65eddbfa50,17081136327468660203796558,7
0xa997faa3ee748067d1d6e17e16333dd8ad29535e,15897991854754892100759078,8
0xdad376f73a855ff53ff70b6a6881d6efb02c5e3f,14911975465426789809055862,9
0xa2a5b2cb1e767f1ce9f119e5282e56ab928a27cc,11366115515034429864807039,10
0x348a988bf8211ea395164ae504ca4101943fbee1,11295054476245420094506118,11
0x2dcce04416ec8fad376b733fac16cfb03cfb189e,8849347792247847316042419,12
0x336b2ae0b25f2553897480620dc3e5cec2211ca3,8834656705945416196954910,13
0xceebc4cf5421984b78c0df39cdd29493cf99d3e3,8810639618043346263761719,14
0x8bb0eb4613c709402aefab2687f9380c5b8c4e49,8430692548872495319005823,15
0x36cd0407d7cba4b7c9da725441066da99bf18395,8378808278501125505976988,16
0xfff5d872f617443449f4b40f54e7a04f99755cf9,8368801648088996071533017,17
0x27f25774ef101bdb47aa33deddd7f3e1cac4cf17,8268247567758144360317119,18
0xad155c939d8d745dd488567b18369c13cdd841f4,7323644724415629218350407,19
0xdee951ef7f6ad50a5185607172d4067b89f42705,6999993755799662795740525,20
0xc0603f5cca3d74bc8049614f8089c5a165c3160e,6887345012801918530967907,21
0x17a1523df839d5edb1d500881fbbb2714a48ca60,6724657403757319145403345,22
0xa518444be43f0d9613ac49abd66ef6a23d344ec7,6670189893999965744766660,23
0x0253be3db2f489f989c9360777237b14809e44fc,6529614792556597067821855,24
0x5ccf7d1588723ed2a85e9427c841c3d912c5369c,6390568094591450326445740,25
0x04d39a3c66e5c3d1507400e2623b0b4ee5ded5ad,6379607366620024452144979,26
0x7bf851f58dddbaf5a2d0bb0098741faaa5392689,6271697901347938567715508,27
0xfbde37f6f358985da07364f9f1a74178a680bd76,6119664617789949800405107,28
0x7ef900f226a2f480da6923194347c367ce191ef2,5916184158950080526942554,29
0x6db609e8670af9abdd0fe18ba7b9a81424dbd066,5887669719999999999737856,30
0xd0b7cc2113ed934d9293c4bef02cd06ac5735bed,5755553466826295421459787,31
0x0d6a20487defd17616ef3a7b67cb9107de8d2c9f,5628568021592102262606652,32
0xafca747b067c40ae0dda3f170ae971a2cbf4d05c,5623422402194142160006740,33
0x1ead4dac5b7c69a296465123124265f51f7c5eba,5369562103164147439709767,34
0x36ccdef4decfa6ae89707b1737e8fc56d275414f,5326362520202376663456332,35
0x70a0493c265a898032ecfa65fc1072f6835d44fd,5245201843933105871781134,36
0xbaa5b6bb83a6998629c6338241e505318149e6d7,5230234208751964525623840,37
0xef1366bb04b3ef7f8c6ff01e5dd33e3269678a25,5174447518535683507189552,38
0xe01ff44ed40070b19cc967b4f062c1b633f29195,5102448295908999464320016,39
0x2225349cdf7f16156d7e4fd5eef774fef180cec1,5010812365525380009324497,40
0xee899b1ff2d0396a93734bca4241695de5bcdaf6,5000000000000000000000000,41
0xab9aba1244ce6b3a479e1ef475053c903d941961,5000000000000000000000000,42
0x1b72f3894316e5c52a0d9f989fd76abe365b8854,5000000000000000000000000,43
0x8bc2a10797753f93814a58eb5244035365884760,5000000000000000000000000,44
0xc872d7f93cb9750c1a689163a6392290b091072c,5000000000000000000000000,45
0x4b6d425fae5ef632fc6cea366ff2f7b0d5110374,5000000000000000000000000,46
0xb3afdb14d4fb26e557f9d184a4ded5e0469e6207,5000000000000000000000000,47
0xd1ffda9c225ddee34f0837bf4d4a441bdd54c473,5000000000000000000000000,48
0x55d7809b8f750e48c7141a86395e299af56f739c,5000000000000000000000000,49
0xb1b3ad8847bd0bb8d106f3d3cf73779546ef88d2,5000000000000000000000000,50
0x96f47cbb5fb486248447f4195490bbe27d865cf2,5000000000000000000000000,51
0xbcdde4ad3dfff346875f21a5c61617a940f57c6a,5000000000000000000000000,52
0xab4fd86c805d2034ae15fc9f79f151d7cf188a32,5000000000000000000000000,53
0xf55b2a49f3b4923c1ae7e636efa2a605cfe8cb3d,5000000000000000000000000,54
0x889c45d7354229238a345b7f746434ba3cd73240,5000000000000000000000000,55
0xd972c984f693aee122a3da24241a1d21bdbe6b3d,5000000000000000000000000,56
0x78ec5b149f183541ff6de4037f9146da7293e3e8,5000000000000000000000000,57
