address,holding_balance,rk
0x754f8c5df6fb5bfc2b3001fcbe4ac5797f2fe534,12838678198262005938598749,2
0x847c944f5b9b38f0c5331580cea67a7f1ec17388,11808955224883417981389557,3
0x537037c5ae805b9d4cecab5ee07f12a8e59a15b2,11500000000000000000000000,4
0x077924551b8bcd8c8f87f7af645623a52012e9e1,10899999996317048723133668,5
0xb7802764002a0b15ff89300bbdf0de80a50c5d9b,10823538235769886653353981,6
0xc25e850f6cede52809014d4eecca402eb47bdc28,10559677643345613149806691,7
0x975984b26c58464b198917fec419d937475363b3,9635938921595978383296885,8
0x4a698eccceb505b55ba116358cb22a2535f7e7f0,8740620941133832203192539,9
0xda003fe3c0c8c2b496188f03f080341f147f879a,8620399759569823082130181,10
0x7bf6b08c66f0b576ed6e338896e8ff06a5674dfe,8500000000000000000000000,11
0x71c3315b18f1f120b8d00fed2af800da4a53c5f6,8500000000000000000000000,12
0x3fbe2fd902d278e3f05575149505f998445ea4b0,8283735115427357074909553,13
0x2616e29e5c2a74022ad7bd98a09249aff22557b2,8028812474231588225852233,14
0xceebc4cf5421984b78c0df39cdd29493cf99d3e3,8008968859262315808885177,15
0xfff5d872f617443449f4b40f54e7a04f99755cf9,6361494783609230074131251,16
0xc8fe2a7e714cb2dabee571112d5384518883f20e,6280622836232582658320842,17
0x988eae5615e529f14c725ee4339a63b530471f18,6230491717703917857621612,18
0x7338afb07db145220849b04a45243956f20b14d9,5875761815196847630417811,19
0xc920ffed02a1a0a697e097e9921bd55722e0419b,5803262546053514169674808,20
0xf0e5e8549e69ac7602b18cbc68fa819b06f0b58d,5670804707348173971704760,21
0xe9b4d142146ff9f78793c4c0ef2a2bb21b9dfe5a,5438261602495278680718400,22
0xf974e1388ed613000febdbfda6f42a830a24f1aa,5179059203065148503419869,23
0xfae5e47c5182df6afb6976312e98042286c115d8,5051493820516704006865355,24
0xc3aea0f6be290b29badd64275ce6a017c4ee98b6,5000000000000000000000000,25
0x4f82e73edb06d29ff62c91ec8f5ff06571bdeb29,4991223621948759430740638,26
0x97aca361eb8d698fa4d7bcbe0b96610dc6aad56d,4955712780591946137332265,27
0x956b0ccd3229ae22b3d0fcdd6ba619b19a646450,4891103641138076894711429,28
0xd8623b1e0b07a5dc1d28b80ff70b1ff196875873,4726313320150010269624473,29
0xfd2ec3bb12d743239eb3f121b54c7129df6aa8d8,4665088258536189498277247,30
0x3026b6732a6b3468f79b5eb940f7992269e3c844,4609702559553279642778117,31
0x7798ba9512b5a684c12e31518923ea4221a41fb9,4601068943242543744995471,32
0x5ea9ccef88538cfbb0aa3976fafb51dcab847e10,4568538235321942861166679,33
0x0bab4f59c0bab92552cb3efcc7f8d29c16445ad9,4543946084535472851529843,34
0x9dbc5e35a2f1a6dc214bdb7ed7a8c706d77f0a74,4351540131550993482554026,35
0x626358e33076453160a58ebd03cbaef3449f1964,4200662801579336292667697,36
0xb5c3d1e9d2eaca2bee1d9d576cfcec2aa05cadbd,4144692701170969192166677,37
0x27ed385662b631074034889332cd38483ce59852,4141704668083918678877341,38
0x147d1ba1208910cdd326ee9fb8d8cd9e87e66473,4134919094093841161146676,39
0xeb3d316d5dbec2858fdae9b6d723530410a7c73c,4038341141371422600485574,40
0xeea4b70c003d3cce9069b2ec34f4d1d7205f114f,4032862804095111398513134,41
0xa635e758e6e4bac6efbfb3506909595ad651e161,4020515127215607892216803,42
0xb9f3d299df0f335f6b2c18caca9ccdb1ceb30a38,4000000000000000000000000,43
0x228c5be88697fc8db1d4fe7967e3c59d79f755cc,3832876834003642099814160,44
0x70a0493c265a898032ecfa65fc1072f6835d44fd,3804383523515635761710206,45
0x44b4ab5c3cc6325fa15a7b6f0d8caa89125db453,3750000000000000000000000,46
0x4325d09777f68f78c5712cdccc953f739b956090,3750000000000000000000000,47
0x0ace357dc571c8be20940e2c5a6dceb3e4e90a11,3750000000000000000000000,48
0xdbbd7e40e4c2e088d13be93d625d3569d8821f4f,3750000000000000000000000,49
0x767e095f6549050b4e9a3bcce18aadd28bef486f,3750000000000000000000000,50
