address,total_holdings
0x0040daac32d83c78546ae36da42a496b28ab09e1,225727595320701816634545
0x0185c4fd0d225044169bdfd5150a269249c7fb11,2500000000000000000000000
0x0bab4f59c0bab92552cb3efcc7f8d29c16445ad9,4543946084535472851529843
0x0df481aaa715bb1de5bf4e3dbc7483b06009c7fa,4000958535763550694110603
0x197ecb5c176ad4f6e77894913a94c5145416f148,41593721548556964781503922
0x1a5b42d1d563a3c90875d96926954fa7f06e5d7b,800000000000000000000000
0x1ead4dac5b7c69a296465123124265f51f7c5eba,14393734928529178491598566
0x25de6ee9bb67dca9654259843682be875ab85b5f,11769305773083695653121371
0x26ca66a755344c36214c227c3033861d5268506d,2150551893725075584793683
0x27c6dccf18d6e66942dc5a250b1618b6b3a44036,132376491481414353484853
0x27f25774ef101bdb47aa33deddd7f3e1cac4cf17,8268247567758144360317119
0x2b777a23b87831c7ebd788cf98ba1627aba78e26,4516414205315864516033301
0x2bc44176218e2a5f6a5f1efffa1e6dfeaef18644,157171043812135631579269
0x2d6e288c06bf5cac21d3fa1f1ee495ad485a2597,750000000000000000000000
0x2e3f371d68dd5080eeea385d5a37171fcd5358c3,548500000000000000000000
0x336b2ae0b25f2553897480620dc3e5cec2211ca3,8834656705945416196954910
0x344b76917b4a31a1ed83f8b4e43ecd7587a7a924,20000000000000000000000000
0x34ad3f00c4abbe169ec1203be34de622671381af,632257441100572941303649
0x36cd0407d7cba4b7c9da725441066da99bf18395,9358145811340450612752888
0x3a5aa7ba27813f77809c4a7bfc395d07b2893552,997987733205674931636384
0x3bfef8856fb97a3d6c899e4690f7b54442dd912f,25547118625865049694193
0x3c790689973796c28796be91024897c5dbd401b4,8974532671210979139490407
0x416c4c9eaef536bfa021f2459d3a801c6130fec9,100000005211947301593069
0x423f776b8b6c656f451c7527e2216a84e0ba7a34,1977709140070210103851643
0x44236efb5bb9dbe73507dc9ece0ae4c53a7a193d,2702040813989686648869726
0x4827c1d5b7cbea004385301644e4912f498e3799,135522738326665300518389
0x4cdd192d1e4fcc9d7263873af273b578bb678205,2936607500000000000000000
0x52650bc01236a2106b5bf8a6f6142c87fb3b9f08,2425251948953395742021719
0x537037c5ae805b9d4cecab5ee07f12a8e59a15b2,11500000000000000000000000
0x58b77d4fe7d93fba7de47fb701939d3c53388696,5196996987523285936269776
0x5ea35d9341af18e5871ff5fb15e548f168728d02,2532241803361461064741182
0x5fb36c08124a78edb09a990f863ba1982580016d,2398781000406270202530716
0x6370fb05dfebf6f52f37f3bc4ae04c37311580fd,1541822301063720220862503
0x656bfed4a679f85eb8dbbeddfa9f92664aac9b77,6464372380608701051983107
0x67a587fb48fff34ea0d37d72b2c40d871797cdd2,817111495591474541908484
0x767e095f6549050b4e9a3bcce18aadd28bef486f,23599971000000000000002116
0x7798ba9512b5a684c12e31518923ea4221a41fb9,38145812504845547178154815
0x7b533d27235b7a5df992edb42fdc231068c7b6d4,757196848568097932556589
0x7ef900f226a2f480da6923194347c367ce191ef2,5916184158950080526942554
0x815fb8214813f1588a841245a0876ca0fd8fcc82,478074245633340963370605
0x817e51c96a5d7968fa47ff224f4b2d54211b0d3a,931892638079750347211622
0x8a4724e8b481e83a70a0ec158c7e158502c9d523,2000000000000000000000000
0x8bab3ea3df191475918faa5aa541f8a52d1744cb,8470358057133340121008407
0x8bc2a10797753f93814a58eb5244035365884760,12249241683100148450039355
0x8be928a7dc9880e171d333a19ae48296c260ecd6,169353187380725752554617
0x8cf3e86907619c3b9a28512365d535323d58102a,2986955255660839164183704
0x8fe36fe57a54979be5e4a26f95b2bcdb0cd06405,1294788201361915025337107
0x9109be2f88fe7a3cc22c69ae2bfacbcd052ba73d,1585840240443786958574053
0x92520b3e05e5cbcb21e19d15cb2887c6194f3aca,1976366277305663719804883
0x961f6af1729f276c9a053016a2da2706a19b7c42,2773086902069746036452113
0x975984b26c58464b198917fec419d937475363b3,9635938921595978383296885
0x98842433fff9e9591e62c906c26f68200a5149f7,199786204205823155361528
0x9a214e4c8ec31632ee3057d3e64f58ae63c2f801,1543608875807703805222547
0x9a241d67389ca97ee4a3c7c177382b6deabd6a90,16124596673358868878592151
0x9aae2f3145739065c6c67126c84882c929a69718,1241066631712512782151530
0x9acf8d0315094d33aa6875b673eb126483c3a2c0,4050000000000000000000000
0xa0181a7d77a4cb73c5f252c30baf085da0fae1ab,1097461660691144506497216
0xa2a5b2cb1e767f1ce9f119e5282e56ab928a27cc,11366115515034429864807039
0xa36812df451d705e1a9e8b2b805f503eb7a99d5a,984218302579485826719091
0xa4e93279ddf89d8dcc200956fbba176eac7bd3a3,16107809636934814059287062
0xa518444be43f0d9613ac49abd66ef6a23d344ec7,6670189893999965744766660
0xab9aba1244ce6b3a479e1ef475053c903d941961,10091127667441232069982140
0xac907b3cb603e54b2f1270d772bf324e943d5826,1504451771982204515417974
0xaec348bad0e323ae6f196ecdac28fc5de227d78e,35211184123257083928918004
0xb3afdb14d4fb26e557f9d184a4ded5e0469e6207,8750000000000000000000000
0xb498c69d0a640be3dd9ccb7e8adc3c5828ba6024,1751947750612471261751042
0xb5a410c5f27b7c3e5b02981ba59a2b3bf900b231,7537708956663753784174663
0xb893ae8a1824604f6df4dfde52e2754921ba1a73,5000000000000000000000000
0xbaa5b6bb83a6998629c6338241e505318149e6d7,5230234873544935919722870
0xbb9a2876bfe26ac04d2901b0655a0ac8ac4182a0,13050000000000000000000000
0xbd1296ca93657947bf344e67c8726ef381ecde37,9264031913745534277308009
